"method-acuponcture","Acuponcture",true
"method-regime","Changement de régime alimentaire",true
"method-oligo","Cure d'oligo-éléments",true
"method-massages","Massages",true
"method-mtc","Méthode traditionnelle chinoise (MTC)",true
"method-naturopathe","Naturopathe",true
"method-osteopathie","Ostéopathie",true
"method-b9","Vitamine B9",true
"method-d","Vitamine D",true
"method-c","Vitamine C",true
