"alimentation-avant","La même chose comme avant",true
"alimentation-2x","Deux fois plus qu\'avant",true
"alimentation-interdit","Attention aux produits "interdits"",true
"alimentation-bio","Exclusivement bio et local",true
"alimentation-rien","Impossible de manger",true
"alimentation-vegetarien","Végétarien",true
"alimentation-sans-gluten","Sans gluten",true
"alimentation-allergies","En fonction de mes allergies",true
