"gt-astuces","Mes Astuces","/img/albums/astuces.jpg"
"gt-bump","Mon Baby Bum","/img/albums/bump.jpg"
"gt-cadeaux","Mes Cadeaux de naissance","/img/albums/cadeaux.jpg"
"gt-dyi","Mes DYI","/img/albums/dyi.jog"
"gt-echos","Mes Echos","/img/albums/echos.jpg"
"gt-nurserie","Ma Nurserie","/img/albums/nurserie.jpg"
"gt-puericulture","Ma Puériculture","/img/albums/puericulture.jpg"
"gt-sac","Mon Sac d'accouchement","/img/albums/sac.jpg"
"gt-trousseau","Mon Trousseau","/img/albums/trousseau.jpg"
